,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,24.0,11,0.37142856081632686,0.04581151826464461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,11.0,3,0.5714285306122479,0.037837837735573414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,43.0,26,0.24637680802352452,0.07508161036443786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,62.0,31,0.333333329749104,0.08462238390844186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,42.0,74,-0.275862066587396,0.1286031040702848,0.0,0.0,0.0,0.0,729.0,0.0,6.700960219478738,,
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,24.0,10,0.41176469377162667,0.057335581690833755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,90.0,29,0.5126050377092014,0.08333333327497665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,28.0,40,-0.17647058564013846,0.0925170066768476,0.0,0.0,0.0,0.0,332.0,0.0,7.298192771084337,,
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,35.0,11,0.5217391190926278,0.06028833543867846,0.0,0.0,0.0,0.0,812.0,0.0,8.224137931034482,,
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,40.0,48,-0.09090908987603308,0.1004566208898897,0.0,0.0,0.0,0.0,988.0,0.0,7.484817813765182,,
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,64.0,68,-0.030303030073461894,0.12815533968140258,0.0,0.0,0.0,0.0,801.0,0.0,8.089887640449438,,
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79.0,24,0.5339805773399944,0.08894645933597023,0.0,0.0,0.0,0.0,556.0,0.0,7.634892086330935,,
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,65.0,20,0.5294117584775088,0.07834101375268109,0.0,0.0,0.0,0.0,1278.0,0.0,8.0320813771518,,
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,43.0,15,0.48275861236623085,0.11693548363521072,0.0,0.0,0.0,0.0,679.0,0.0,7.447717231222386,,
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,26.0,29,-0.05454545355371903,0.06666666658585858,0.0,0.0,0.0,0.0,649.0,0.0,8.201848998459168,,
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,38.0,29,0.1343283562040544,0.0729053318031498,0.0,0.0,0.0,0.0,772.0,0.0,8.164507772020725,,
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,38.0,29,0.1343283562040544,0.0729053318031498,0.0,0.0,0.0,0.0,941.0,0.0,7.967056323060574,,
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,47.0,14,0.5409835976887934,0.07142857134493141,0.0,0.0,0.0,0.0,1118.0,0.0,7.712880143112701,,
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,36.0,12,0.4999999895833336,0.05700712582303192,0.0,0.0,0.0,0.0,986.0,0.0,7.881338742393509,,
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,63.0,8,0.7746478764134103,0.06147186141863908,0.0,0.0,0.0,0.0,480.0,0.0,7.85625,,
20,blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,12.0,2,0.7142856632653098,0.03349282288638081,0.0,0.0,0.0,0.0,775.0,0.0,7.269677419354839,,
21,blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,26.0,48,-0.29729729327976634,0.09158415830249485,0.0,0.0,0.0,0.0,889.0,0.0,7.47244094488189,,
22,blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,17.0,10,0.2592592496570648,0.06976744168018749,0.0,0.0,0.0,0.0,889.0,0.0,7.47244094488189,,
23,blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,35.0,16,0.37254901230296056,0.05263157889305307,0.0,0.0,0.0,0.0,799.0,0.0,7.505632040050062,,
24,blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,27.0,5,0.6874999785156257,0.06106870217353301,0.0,0.0,0.0,0.0,772.0,0.0,7.696891191709844,,
25,blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,24.0,13,0.2972972892622354,0.04768041230969019,0.0,0.0,0.0,0.0,1078.0,0.0,7.5269016697588125,,
26,blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,28.0,16,0.27272726652892576,0.05781865958236707,0.0,0.0,0.0,0.0,410.0,0.0,7.382926829268293,,
27,blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,30.0,27,0.052631578024007405,0.06514285706840817,0.0,0.0,0.0,0.0,755.0,0.0,7.6158940397351,,
28,blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,37.0,28,0.138461536331361,0.0772889416441273,0.0,0.0,0.0,0.0,359.0,0.0,7.5905292479108635,,
